invoice_id,customer_id,issue_date,due_date,invoice_amount,currency,status,invoice_type,channel,created_at
INV-00044,CUST-0078,2025-05-20,2025-07-19,18246.7,USD,open,recurring,online,2025-05-20
INV-00045,CUST-0032,2025-03-09,2025-05-08,25654.34,USD,open,recurring,offline,2025-03-09
INV-00046,CUST-0081,2026-02-06,2026-03-23,9012.42,USD,paid,recurring,offline,2026-02-06
INV-00047,CUST-0061,2026-02-01,2026-02-16,23310.09,USD,open,one_time,offline,2026-02-01
INV-00048,CUST-0091,2025-08-13,2025-09-27,21221.61,USD,open,one_time,online,2025-08-13
INV-00049,CUST-0050,2025-12-10,2026-02-08,24515.4,USD,paid,one_time,online,2025-12-10
INV-00050,CUST-0086,2025-10-24,2025-12-23,22434.06,USD,open,one_time,offline,2025-10-24
INV-00051,CUST-0028,2025-06-16,2025-07-31,33286.12,USD,open,recurring,offline,2025-06-16
INV-00052,CUST-0012,2025-07-13,2025-08-27,26771.78,USD,paid,one_time,online,2025-07-13
INV-00053,CUST-0045,2025-05-21,2025-07-20,91403.19,USD,paid,one_time,online,2025-05-21
INV-00054,CUST-0009,2025-10-14,2025-10-29,20757.1,USD,paid,one_time,offline,2025-10-14
INV-00055,CUST-0081,2025-05-13,2025-06-27,28335.41,USD,paid,recurring,offline,2025-05-13
INV-00056,CUST-0005,2025-12-10,2026-01-24,39929.3,USD,open,recurring,online,2025-12-10
INV-00057,CUST-0005,2026-01-19,2026-03-05,62976.72,USD,open,one_time,online,2026-01-19
INV-00058,CUST-0035,2025-04-12,2025-05-27,20197.42,USD,paid,recurring,offline,2025-04-12
INV-00059,CUST-0038,2025-03-03,2025-04-02,46389.01,USD,open,one_time,offline,2025-03-03
INV-00060,CUST-0081,2025-05-10,2025-06-24,12374.8,USD,open,recurring,online,2025-05-10
INV-00061,CUST-0070,2025-08-04,2025-08-19,10085.62,USD,paid,recurring,offline,2025-08-04
INV-00062,CUST-0038,2025-09-23,2025-10-23,37658.37,USD,open,one_time,offline,2025-09-23
INV-00063,CUST-0024,2025-04-11,2025-05-11,23895.07,USD,open,one_time,online,2025-04-11
INV-00064,CUST-0086,2025-04-17,2025-06-16,51833.49,USD,paid,one_time,offline,2025-04-17
INV-00065,CUST-0088,2025-07-05,2025-08-04,86368.44,USD,paid,one_time,online,2025-07-05
INV-00066,CUST-0024,2025-11-22,2025-12-22,19173.26,USD,paid,recurring,online,2025-11-22
INV-00067,CUST-0063,2025-09-24,2025-10-09,15007.37,USD,paid,recurring,online,2025-09-24
INV-00068,CUST-0079,2025-09-14,2025-09-29,55108.54,USD,open,recurring,online,2025-09-14
INV-00069,CUST-0088,2025-10-15,2025-11-14,20222.4,USD,open,one_time,offline,2025-10-15
INV-00070,CUST-0094,2025-11-09,2025-12-09,43450.21,USD,open,one_time,online,2025-11-09
INV-00071,CUST-0024,2025-12-30,2026-01-29,11129.57,USD,paid,one_time,offline,2025-12-30
INV-00072,CUST-0021,2025-09-21,2025-11-05,30242.67,USD,open,one_time,offline,2025-09-21
INV-00073,CUST-0054,2025-05-02,2025-07-01,23758.13,USD,open,recurring,offline,2025-05-02
INV-00074,CUST-0048,2026-01-21,2026-03-22,15072.87,USD,paid,recurring,offline,2026-01-21
INV-00075,CUST-0012,2025-12-21,2026-02-04,38936.04,USD,open,recurring,online,2025-12-21
INV-00076,CUST-0011,2025-11-22,2025-12-22,27337.58,USD,open,milestone,online,2025-11-22
INV-00077,CUST-0036,2025-04-27,2025-05-12,49320.23,USD,open,recurring,offline,2025-04-27
INV-00078,CUST-0055,2025-06-16,2025-07-01,59669.7,USD,paid,one_time,online,2025-06-16
INV-00079,CUST-0066,2025-12-15,2026-02-13,17423.92,USD,open,one_time,online,2025-12-15
INV-00080,CUST-0039,2026-01-12,2026-01-27,85039.34,USD,open,recurring,online,2026-01-12
INV-00081,CUST-0100,2025-12-18,2026-01-02,29060.07,USD,paid,one_time,online,2025-12-18
INV-00082,CUST-0065,2025-12-31,2026-01-30,16992.67,USD,paid,recurring,offline,2025-12-31
INV-00083,CUST-0046,2025-09-16,2025-11-15,16072.46,USD,open,recurring,offline,2025-09-16
INV-00084,CUST-0014,2025-06-02,2025-07-17,32523.89,USD,open,milestone,online,2025-06-02
INV-00085,CUST-0063,2025-12-19,2026-01-03,28430.51,USD,open,recurring,offline,2025-12-19
INV-00086,CUST-0098,2025-08-10,2025-09-24,10327.64,USD,paid,one_time,online,2025-08-10
INV-00087,CUST-0043,2026-01-07,2026-02-06,85999.38,USD,paid,one_time,online,2026-01-07
INV-00088,CUST-0083,2025-03-19,2025-05-18,76243.92,USD,paid,recurring,offline,2025-03-19
INV-00089,CUST-0016,2025-12-02,2026-01-16,54130.71,USD,open,recurring,online,2025-12-02
INV-00090,CUST-0033,2025-10-01,2025-11-30,7900.25,USD,open,one_time,offline,2025-10-01
INV-00091,CUST-0069,2025-09-03,2025-10-03,35778.38,USD,open,recurring,online,2025-09-03
INV-00092,CUST-0063,2025-03-16,2025-03-31,14754.55,USD,open,one_time,offline,2025-03-16
INV-00093,CUST-0004,2025-06-08,2025-06-23,17606.37,USD,paid,one_time,online,2025-06-08
INV-00094,CUST-0063,2025-12-28,2026-01-12,24065.79,USD,open,recurring,online,2025-12-28
INV-00095,CUST-0034,2025-11-04,2025-12-19,42619.35,USD,paid,recurring,offline,2025-11-04
INV-00096,CUST-0087,2025-10-17,2025-12-16,6266.65,USD,open,recurring,online,2025-10-17
INV-00097,CUST-0096,2025-04-10,2025-05-10,9153.33,USD,open,one_time,offline,2025-04-10
INV-00098,CUST-0041,2025-11-24,2026-01-08,10528.76,USD,paid,one_time,online,2025-11-24
INV-00099,CUST-0013,2025-03-01,2025-04-30,48435.99,USD,open,one_time,offline,2025-03-01
INV-00100,CUST-0032,2025-06-10,2025-08-09,13841.35,USD,open,recurring,online,2025-06-10
INV-00101,CUST-0065,2025-06-24,2025-07-24,8107.72,USD,paid,milestone,offline,2025-06-24
INV-00102,CUST-0098,2025-10-23,2025-12-07,34030.34,USD,open,one_time,online,2025-10-23
INV-00103,CUST-0002,2025-10-31,2025-11-30,33538.6,USD,paid,one_time,offline,2025-10-31
INV-00104,CUST-0018,2025-06-16,2025-07-31,34689.9,USD,open,recurring,online,2025-06-16
INV-00105,CUST-0030,2025-08-20,2025-09-19,11674.13,USD,open,recurring,offline,2025-08-20
INV-00106,CUST-0067,2025-11-17,2025-12-17,38742.23,USD,open,one_time,offline,2025-11-17
INV-00107,CUST-0031,2025-05-09,2025-07-08,16392.94,USD,paid,recurring,offline,2025-05-09
INV-00108,CUST-0092,2025-10-14,2025-12-13,32118.48,USD,open,one_time,online,2025-10-14
INV-00109,CUST-0072,2025-06-17,2025-07-02,7619.65,USD,open,milestone,online,2025-06-17
INV-00110,CUST-0092,2025-07-08,2025-09-06,19160.71,USD,open,recurring,offline,2025-07-08
INV-00111,CUST-0051,2025-04-17,2025-05-02,21159.5,USD,paid,recurring,online,2025-04-17
INV-00112,CUST-0055,2025-07-02,2025-07-17,82980.89,USD,open,recurring,offline,2025-07-02
INV-00113,CUST-0047,2025-06-01,2025-07-16,67503.96,USD,paid,one_time,offline,2025-06-01
INV-00114,CUST-0060,2025-12-01,2025-12-16,19207.43,USD,open,one_time,online,2025-12-01
INV-00115,CUST-0057,2025-06-29,2025-07-29,74208.9,USD,open,recurring,offline,2025-06-29
INV-00116,CUST-0021,2025-05-09,2025-06-23,19261.9,USD,paid,recurring,online,2025-05-09
INV-00117,CUST-0058,2025-10-03,2025-11-02,40747.67,USD,open,one_time,online,2025-10-03
INV-00118,CUST-0084,2025-06-27,2025-07-12,27042.63,USD,open,recurring,offline,2025-06-27
INV-00119,CUST-0097,2025-12-05,2026-01-19,110299.76,USD,paid,one_time,offline,2025-12-05
INV-00120,CUST-0003,2025-08-22,2025-10-06,63079.38,USD,paid,recurring,online,2025-08-22
INV-00121,CUST-0026,2025-03-10,2025-04-24,60416.73,USD,open,one_time,online,2025-03-10
INV-00122,CUST-0041,2025-02-21,2025-04-07,14051.94,USD,paid,one_time,offline,2025-02-21
INV-00123,CUST-0063,2025-09-07,2025-09-22,25693.89,USD,open,recurring,offline,2025-09-07
INV-00124,CUST-0072,2026-01-22,2026-02-06,12614.03,USD,open,recurring,offline,2026-01-22
INV-00125,CUST-0073,2025-06-04,2025-07-04,40103.79,USD,open,one_time,online,2025-06-04
INV-00126,CUST-0090,2025-04-21,2025-06-05,27282.96,USD,paid,one_time,online,2025-04-21
INV-00127,CUST-0095,2025-12-05,2026-02-03,56004.38,USD,paid,one_time,offline,2025-12-05
INV-00128,CUST-0094,2025-02-28,2025-03-30,14390.96,USD,open,milestone,online,2025-02-28
INV-00129,CUST-0024,2025-08-27,2025-09-26,30472.35,USD,paid,one_time,online,2025-08-27
INV-00130,CUST-0048,2025-02-27,2025-04-28,25544.77,USD,open,recurring,offline,2025-02-27
INV-00131,CUST-0008,2026-01-10,2026-01-25,50680.71,USD,paid,one_time,offline,2026-01-10
INV-00132,CUST-0032,2025-08-08,2025-10-07,17995.7,USD,paid,one_time,online,2025-08-08
INV-00133,CUST-0091,2025-06-12,2025-07-27,38641.79,USD,open,recurring,online,2025-06-12
INV-00134,CUST-0065,2025-07-23,2025-08-22,35108.66,USD,open,milestone,offline,2025-07-23
INV-00135,CUST-0051,2026-01-07,2026-01-22,30864.2,USD,open,milestone,online,2026-01-07
INV-00136,CUST-0020,2025-07-19,2025-08-18,39492.15,USD,open,recurring,online,2025-07-19
INV-00137,CUST-0054,2025-07-28,2025-09-26,67107.81,USD,paid,recurring,online,2025-07-28
INV-00138,CUST-0056,2025-10-02,2025-11-16,71298.68,USD,paid,recurring,online,2025-10-02
INV-00139,CUST-0043,2025-09-17,2025-10-17,27497.96,USD,paid,one_time,offline,2025-09-17
INV-00140,CUST-0098,2026-02-07,2026-03-24,23133.57,USD,open,one_time,online,2026-02-07
INV-00141,CUST-0039,2026-01-28,2026-02-12,22316.94,USD,paid,recurring,offline,2026-01-28
INV-00142,CUST-0095,2025-06-03,2025-08-02,74797.75,USD,open,recurring,online,2025-06-03
INV-00143,CUST-0072,2025-05-31,2025-06-15,32600.39,USD,paid,one_time,offline,2025-05-31
INV-00144,CUST-0012,2025-03-19,2025-05-03,38707.43,USD,open,recurring,offline,2025-03-19
INV-00145,CUST-0071,2026-01-15,2026-02-14,9064.82,USD,paid,one_time,online,2026-01-15
INV-00146,CUST-0021,2025-08-19,2025-10-03,23434.48,USD,open,recurring,online,2025-08-19
INV-00147,CUST-0057,2025-04-11,2025-05-11,32153.32,USD,paid,recurring,online,2025-04-11
INV-00148,CUST-0065,2025-11-12,2025-12-12,30147.59,USD,open,milestone,online,2025-11-12
INV-00149,CUST-0045,2025-05-01,2025-06-30,23037.88,USD,paid,recurring,offline,2025-05-01
INV-00150,CUST-0094,2025-08-29,2025-09-28,33120.91,USD,open,milestone,online,2025-08-29
INV-00151,CUST-0019,2026-01-28,2026-02-27,90587.58,USD,paid,recurring,offline,2026-01-28
INV-00152,CUST-0077,2025-12-09,2025-12-24,16820.83,USD,open,recurring,online,2025-12-09
INV-00153,CUST-0100,2025-06-01,2025-06-16,41000.24,USD,open,recurring,offline,2025-06-01
INV-00154,CUST-0100,2025-05-19,2025-06-03,25335.39,USD,open,recurring,offline,2025-05-19
INV-00155,CUST-0073,2025-11-16,2025-12-16,91638.65,USD,paid,one_time,online,2025-11-16
INV-00156,CUST-0068,2026-01-01,2026-02-15,28551.55,USD,open,one_time,offline,2026-01-01
INV-00157,CUST-0082,2025-09-06,2025-10-21,37395.68,USD,paid,recurring,offline,2025-09-06
INV-00158,CUST-0057,2025-02-16,2025-03-18,39444.33,USD,open,one_time,offline,2025-02-16
INV-00159,CUST-0024,2025-09-05,2025-10-05,46997.48,USD,open,recurring,offline,2025-09-05
INV-00160,CUST-0021,2025-04-29,2025-06-13,9626.94,USD,paid,recurring,offline,2025-04-29
INV-00161,CUST-0082,2025-04-10,2025-05-25,22811.45,USD,open,recurring,online,2025-04-10
INV-00162,CUST-0093,2025-08-29,2025-09-28,93386.95,USD,open,recurring,online,2025-08-29
INV-00163,CUST-0073,2025-12-31,2026-01-30,101294.97,USD,paid,one_time,offline,2025-12-31
INV-00164,CUST-0009,2025-02-21,2025-03-08,21112.04,USD,open,recurring,offline,2025-02-21
INV-00165,CUST-0068,2025-10-28,2025-12-12,19614.46,USD,open,recurring,online,2025-10-28
INV-00166,CUST-0043,2025-02-23,2025-03-25,57900.52,USD,open,recurring,offline,2025-02-23
INV-00167,CUST-0081,2025-07-10,2025-08-24,34295.21,USD,paid,one_time,offline,2025-07-10
INV-00168,CUST-0097,2025-09-15,2025-10-30,72035.36,USD,open,one_time,offline,2025-09-15
INV-00169,CUST-0053,2025-09-30,2025-11-29,9656.87,USD,paid,recurring,online,2025-09-30
INV-00170,CUST-0092,2025-06-20,2025-08-19,65387.42,USD,open,one_time,offline,2025-06-20
INV-00171,CUST-0081,2025-09-18,2025-11-02,14673.21,USD,open,one_time,online,2025-09-18
INV-00172,CUST-0004,2025-05-19,2025-06-03,27682.83,USD,open,one_time,offline,2025-05-19
INV-00173,CUST-0070,2025-09-05,2025-09-20,22761.42,USD,paid,recurring,online,2025-09-05
INV-00174,CUST-0006,2025-03-08,2025-04-07,50524.24,USD,open,recurring,offline,2025-03-08
INV-00175,CUST-0087,2025-10-11,2025-12-10,26558.47,USD,paid,one_time,offline,2025-10-11
INV-00176,CUST-0016,2025-08-09,2025-09-23,44534.22,USD,open,recurring,online,2025-08-09
INV-00177,CUST-0036,2025-09-04,2025-09-19,17217.16,USD,open,recurring,offline,2025-09-04
INV-00178,CUST-0084,2025-09-14,2025-09-29,18255.84,USD,open,recurring,offline,2025-09-14
INV-00179,CUST-0092,2025-12-01,2026-01-30,38628.65,USD,open,one_time,offline,2025-12-01
INV-00180,CUST-0072,2026-02-04,2026-02-19,11330.73,USD,open,one_time,online,2026-02-04
INV-00181,CUST-0086,2025-07-24,2025-09-22,43780.75,USD,paid,recurring,offline,2025-07-24
INV-00182,CUST-0031,2025-11-30,2026-01-29,94806.72,USD,paid,recurring,online,2025-11-30
INV-00183,CUST-0075,2025-05-25,2025-07-24,13876.64,USD,paid,milestone,offline,2025-05-25
INV-00184,CUST-0089,2025-11-01,2025-12-16,61328.55,USD,open,recurring,online,2025-11-01
INV-00185,CUST-0086,2025-03-15,2025-05-14,23754.67,USD,open,one_time,online,2025-03-15
INV-00186,CUST-0004,2025-07-20,2025-08-04,19664.27,USD,open,recurring,online,2025-07-20
INV-00187,CUST-0067,2025-11-05,2025-12-05,15270.08,USD,open,recurring,online,2025-11-05
INV-00188,CUST-0047,2026-02-05,2026-03-22,31143.92,USD,paid,recurring,offline,2026-02-05
INV-00189,CUST-0076,2025-12-10,2026-01-09,79037.46,USD,open,recurring,online,2025-12-10
INV-00190,CUST-0042,2025-03-22,2025-05-06,17881.2,USD,paid,recurring,offline,2025-03-22
INV-00191,CUST-0053,2025-06-23,2025-08-22,18372.37,USD,paid,one_time,offline,2025-06-23
INV-00192,CUST-0078,2025-09-02,2025-11-01,40965.14,USD,open,recurring,online,2025-09-02
INV-00193,CUST-0067,2026-01-20,2026-02-19,13201.09,USD,open,recurring,online,2026-01-20
INV-00194,CUST-0097,2025-04-09,2025-05-24,27982.94,USD,paid,recurring,offline,2025-04-09
INV-00195,CUST-0047,2025-03-01,2025-04-15,18607.77,USD,open,recurring,online,2025-03-01
INV-00196,CUST-0045,2025-06-16,2025-08-15,35591.71,USD,open,recurring,online,2025-06-16
INV-00197,CUST-0076,2025-07-27,2025-08-26,90895.63,USD,paid,recurring,offline,2025-07-27
INV-00198,CUST-0099,2025-10-07,2025-10-22,12530.04,USD,open,recurring,online,2025-10-07
INV-00199,CUST-0059,2025-12-29,2026-02-12,97955.9,USD,paid,one_time,offline,2025-12-29
INV-00200,CUST-0093,2026-01-24,2026-02-23,57726.38,USD,open,recurring,offline,2026-01-24
INV-00201,CUST-0051,2025-06-23,2025-07-08,35826.44,USD,paid,recurring,online,2025-06-23
INV-00202,CUST-0077,2025-03-29,2025-04-13,33693.38,USD,open,recurring,online,2025-03-29
INV-00203,CUST-0028,2025-05-31,2025-07-15,7225.37,USD,paid,recurring,online,2025-05-31
INV-00204,CUST-0032,2025-03-30,2025-05-29,5192.23,USD,open,one_time,offline,2025-03-30
INV-00205,CUST-0079,2025-04-19,2025-05-04,96718.41,USD,open,one_time,online,2025-04-19
INV-00206,CUST-0003,2025-10-03,2025-11-17,129725.64,USD,paid,recurring,offline,2025-10-03
INV-00207,CUST-0044,2025-06-22,2025-08-21,22679.4,USD,paid,one_time,online,2025-06-22
INV-00208,CUST-0004,2025-11-14,2025-11-29,26493.61,USD,open,recurring,online,2025-11-14
INV-00209,CUST-0022,2025-10-04,2025-11-03,88357.86,USD,open,recurring,online,2025-10-04
INV-00210,CUST-0004,2025-10-30,2025-11-14,20374.93,USD,paid,one_time,offline,2025-10-30
INV-00211,CUST-0005,2025-04-08,2025-05-23,20110.88,USD,open,one_time,offline,2025-04-08
INV-00212,CUST-0044,2026-01-20,2026-03-21,9281.42,USD,open,recurring,online,2026-01-20
INV-00213,CUST-0053,2025-11-19,2026-01-18,15191.85,USD,paid,one_time,online,2025-11-19
INV-00214,CUST-0036,2025-05-26,2025-06-10,34870.03,USD,open,recurring,online,2025-05-26
INV-00215,CUST-0090,2025-11-26,2026-01-10,29504.85,USD,open,one_time,offline,2025-11-26
INV-00216,CUST-0086,2025-10-21,2025-12-20,29578.15,USD,paid,one_time,online,2025-10-21
INV-00217,CUST-0089,2025-12-10,2026-01-24,25179.34,USD,paid,recurring,online,2025-12-10
INV-00218,CUST-0012,2025-04-15,2025-05-30,46367.67,USD,open,recurring,offline,2025-04-15
INV-00219,CUST-0073,2026-01-09,2026-02-08,56250.6,USD,open,one_time,online,2026-01-09
INV-00220,CUST-0040,2025-04-08,2025-06-07,29271.84,USD,open,one_time,offline,2025-04-08
INV-00221,CUST-0028,2025-06-02,2025-07-17,11218.42,USD,open,one_time,offline,2025-06-02
INV-00222,CUST-0024,2025-12-08,2026-01-07,18488.55,USD,open,milestone,offline,2025-12-08
INV-00223,CUST-0086,2025-12-08,2026-02-06,19371.86,USD,open,one_time,online,2025-12-08
INV-00224,CUST-0093,2025-04-13,2025-05-13,83030.93,USD,paid,recurring,online,2025-04-13
INV-00225,CUST-0083,2025-11-29,2026-01-28,52582.06,USD,open,one_time,offline,2025-11-29
INV-00226,CUST-0006,2026-01-22,2026-02-21,45891.83,USD,paid,one_time,offline,2026-01-22
INV-00227,CUST-0019,2026-01-20,2026-02-19,84088.25,USD,paid,one_time,offline,2026-01-20
INV-00228,CUST-0090,2025-11-25,2026-01-09,8691.18,USD,open,recurring,offline,2025-11-25
INV-00229,CUST-0066,2025-04-14,2025-06-13,28494.61,USD,open,one_time,offline,2025-04-14
INV-00230,CUST-0090,2025-09-11,2025-10-26,23541.89,USD,paid,recurring,online,2025-09-11
INV-00231,CUST-0088,2025-06-24,2025-07-24,85127.95,USD,open,recurring,offline,2025-06-24
INV-00232,CUST-0011,2026-01-05,2026-02-04,32590.79,USD,open,milestone,online,2026-01-05
INV-00233,CUST-0008,2025-12-20,2026-01-04,43063.43,USD,open,one_time,offline,2025-12-20
INV-00234,CUST-0062,2025-03-14,2025-04-13,39968.57,USD,open,one_time,online,2025-03-14
INV-00235,CUST-0031,2026-01-12,2026-03-13,51702.58,USD,open,one_time,offline,2026-01-12
INV-00236,CUST-0007,2025-11-24,2026-01-23,52824.96,USD,paid,one_time,offline,2025-11-24
INV-00237,CUST-0079,2026-02-08,2026-02-23,32055.45,USD,paid,one_time,online,2026-02-08
INV-00238,CUST-0047,2025-12-08,2026-01-22,44048.84,USD,open,recurring,online,2025-12-08
INV-00239,CUST-0048,2025-03-16,2025-05-15,15950.48,USD,paid,one_time,offline,2025-03-16
INV-00240,CUST-0078,2025-12-11,2026-02-09,26611.05,USD,open,recurring,offline,2025-12-11
INV-00241,CUST-0065,2025-11-16,2025-12-16,7305.45,USD,paid,milestone,online,2025-11-16
INV-00242,CUST-0012,2025-07-02,2025-08-16,78864.45,USD,open,one_time,online,2025-07-02
INV-00243,CUST-0051,2025-09-10,2025-09-25,18075.21,USD,paid,recurring,online,2025-09-10
INV-00244,CUST-0051,2025-05-28,2025-06-12,34245.85,USD,paid,milestone,online,2025-05-28
INV-00245,CUST-0048,2025-10-14,2025-12-13,44756.64,USD,paid,one_time,offline,2025-10-14
INV-00246,CUST-0057,2025-06-03,2025-07-03,53417.03,USD,paid,recurring,offline,2025-06-03
INV-00247,CUST-0036,2026-02-04,2026-02-19,22913.31,USD,open,one_time,offline,2026-02-04
INV-00248,CUST-0039,2025-09-03,2025-09-18,95568.52,USD,open,recurring,online,2025-09-03
INV-00249,CUST-0055,2026-01-09,2026-01-24,54978.24,USD,open,one_time,online,2026-01-09
INV-00250,CUST-0024,2025-10-14,2025-11-13,47738.02,USD,open,milestone,offline,2025-10-14
INV-00251,CUST-0096,2025-11-10,2025-12-10,20235.97,USD,open,one_time,offline,2025-11-10
INV-00252,CUST-0003,2025-04-01,2025-05-16,87765.61,USD,open,recurring,online,2025-04-01
INV-00253,CUST-0017,2025-06-29,2025-07-14,29179.97,USD,open,recurring,online,2025-06-29
INV-00254,CUST-0077,2025-04-16,2025-05-01,25915.43,USD,open,one_time,online,2025-04-16
INV-00255,CUST-0100,2025-09-25,2025-10-10,32620.81,USD,open,recurring,offline,2025-09-25
INV-00256,CUST-0019,2025-11-15,2025-12-15,81159.19,USD,paid,recurring,online,2025-11-15
INV-00257,CUST-0084,2025-11-24,2025-12-09,35184.3,USD,open,recurring,offline,2025-11-24
INV-00258,CUST-0058,2025-09-14,2025-10-14,11290.2,USD,paid,one_time,offline,2025-09-14
INV-00259,CUST-0051,2025-10-30,2025-11-14,35941.38,USD,open,one_time,online,2025-10-30
INV-00260,CUST-0048,2025-06-22,2025-08-21,34373.52,USD,open,one_time,offline,2025-06-22
INV-00261,CUST-0083,2026-02-01,2026-04-02,78105.87,USD,open,one_time,offline,2026-02-01
INV-00262,CUST-0084,2025-07-23,2025-08-07,42828.88,USD,open,recurring,offline,2025-07-23
INV-00263,CUST-0046,2026-01-06,2026-03-07,18085.45,USD,open,one_time,offline,2026-01-06
INV-00264,CUST-0025,2025-07-11,2025-07-26,5740.31,USD,open,recurring,online,2025-07-11
INV-00265,CUST-0018,2025-02-13,2025-03-30,49230.73,USD,paid,recurring,online,2025-02-13
INV-00266,CUST-0006,2025-03-08,2025-04-07,49966.19,USD,paid,one_time,offline,2025-03-08
INV-00267,CUST-0003,2026-02-04,2026-03-21,27509.63,USD,open,one_time,online,2026-02-04
INV-00268,CUST-0087,2025-12-23,2026-02-21,7513.88,USD,paid,recurring,offline,2025-12-23
INV-00269,CUST-0062,2025-03-14,2025-04-13,88801.13,USD,paid,one_time,offline,2025-03-14
INV-00270,CUST-0047,2025-08-28,2025-10-12,66184.15,USD,open,recurring,online,2025-08-28
INV-00271,CUST-0064,2025-03-12,2025-04-11,98729.19,USD,open,one_time,online,2025-03-12
INV-00272,CUST-0093,2025-02-25,2025-03-27,74282.01,USD,open,one_time,online,2025-02-25
INV-00273,CUST-0004,2025-10-02,2025-10-17,17652.45,USD,open,one_time,offline,2025-10-02
