payment_id,invoice_id,payment_date,amount,method,status
PAY-00131,INV-00309,2025-07-14,25262.76,credit_card,completed
PAY-00132,INV-00311,2026-02-03,33928.76,credit_card,completed
PAY-00133,INV-00312,2026-02-02,35589.28,bank_transfer,completed
PAY-00134,INV-00314,2025-05-03,18907.33,ach,completed
PAY-00135,INV-00316,2025-09-04,15062.96,bank_transfer,completed
PAY-00136,INV-00318,2025-07-27,99158.13,bank_transfer,completed
PAY-00137,INV-00322,2025-07-26,67811.87,credit_card,completed
PAY-00138,INV-00323,2025-07-10,109248.65,credit_card,completed
PAY-00139,INV-00325,2025-08-01,12826.45,ach,completed
PAY-00140,INV-00327,2025-12-05,11645.65,ach,completed
PAY-00141,INV-00330,2025-12-22,32213.04,bank_transfer,completed
PAY-00142,INV-00331,2025-11-21,32669.96,ach,completed
PAY-00143,INV-00333,2025-06-13,25169.39,bank_transfer,completed
PAY-00144,INV-00337,2025-03-02,83264.42,ach,completed
PAY-00145,INV-00340,2025-07-31,19604.85,bank_transfer,completed
PAY-00146,INV-00341,2025-08-14,40671.91,bank_transfer,completed
PAY-00147,INV-00342,2026-01-30,108791.65,credit_card,completed
PAY-00148,INV-00347,2025-07-18,26680.61,credit_card,completed
PAY-00149,INV-00348,2025-04-05,24305.61,bank_transfer,completed
PAY-00150,INV-00349,2025-06-25,118703.28,bank_transfer,completed
PAY-00151,INV-00352,2025-12-22,29679.12,credit_card,completed
PAY-00152,INV-00356,2025-07-12,31670.99,bank_transfer,completed
PAY-00153,INV-00357,2025-04-04,23981.21,ach,completed
PAY-00154,INV-00360,2025-10-05,5242.35,bank_transfer,completed
PAY-00155,INV-00364,2026-02-01,52372.15,bank_transfer,completed
PAY-00156,INV-00367,2025-10-30,26415.82,ach,completed
PAY-00157,INV-00369,2025-09-24,76800.45,bank_transfer,completed
PAY-00158,INV-00370,2025-09-02,61179.08,bank_transfer,completed
PAY-00159,INV-00376,2025-11-22,92400.89,bank_transfer,completed
PAY-00160,INV-00377,2025-04-24,99195.06,credit_card,completed
PAY-00161,INV-00378,2025-05-18,24315.3,bank_transfer,completed
PAY-00162,INV-00382,2025-12-19,26292.15,credit_card,completed
PAY-00163,INV-00387,2025-09-14,26305.55,ach,completed
PAY-00164,INV-00390,2025-11-17,29916.06,ach,completed
PAY-00165,INV-00397,2026-02-06,56293.33,credit_card,completed
PAY-00166,INV-00398,2025-07-20,18116.37,ach,completed
PAY-00167,INV-00399,2025-08-23,74770.14,ach,completed
PAY-00168,INV-00402,2025-05-08,19845.45,bank_transfer,completed
PAY-00169,INV-00403,2025-09-06,115933.22,ach,completed
PAY-00170,INV-00408,2025-05-01,14974.31,bank_transfer,completed
PAY-00171,INV-00411,2026-01-07,35478.2,bank_transfer,completed
PAY-00172,INV-00412,2025-12-26,62817.19,credit_card,completed
PAY-00173,INV-00417,2025-12-02,41343.13,ach,completed
PAY-00174,INV-00429,2026-01-15,6933.19,bank_transfer,completed
PAY-00175,INV-00430,2025-05-15,19089.44,credit_card,completed
PAY-00176,INV-00433,2026-02-06,34333.96,credit_card,completed
PAY-00177,INV-00435,2026-02-04,26836.35,check,completed
PAY-00178,INV-00436,2025-06-14,35289.6,bank_transfer,completed
PAY-00179,INV-00438,2026-02-07,75617.6,bank_transfer,completed
PAY-00180,INV-00440,2025-10-26,53885.65,bank_transfer,completed
PAY-00181,INV-00443,2025-08-15,5611.34,bank_transfer,completed
PAY-00182,INV-00444,2025-07-12,76259.04,bank_transfer,completed
PAY-00183,INV-00445,2026-01-28,19246.42,check,completed
PAY-00184,INV-00447,2025-05-01,29330.42,bank_transfer,completed
PAY-00185,INV-00450,2026-02-02,29044.05,ach,completed
PAY-00186,INV-00454,2026-02-05,13741.23,bank_transfer,completed
PAY-00187,INV-00457,2026-01-08,18867.48,bank_transfer,completed
PAY-00188,INV-00458,2026-01-04,10928.62,bank_transfer,completed
PAY-00189,INV-00460,2025-09-23,50290.86,bank_transfer,completed
PAY-00190,INV-00465,2025-09-25,79709.51,bank_transfer,completed
PAY-00191,INV-00469,2025-10-07,88139.45,credit_card,completed
PAY-00192,INV-00471,2025-03-24,39862.29,bank_transfer,completed
PAY-00193,INV-00472,2025-08-07,52955.23,credit_card,completed
PAY-00194,INV-00474,2025-11-03,71811.63,check,completed
PAY-00195,INV-00477,2026-01-31,81720.9,bank_transfer,completed
PAY-00196,INV-00479,2025-06-02,24788.76,credit_card,completed
PAY-00197,INV-00487,2025-06-13,34765.75,bank_transfer,completed
PAY-00198,INV-00489,2025-09-12,71347.46,ach,completed
PAY-00199,INV-00491,2025-09-30,34127.12,ach,completed
PAY-00200,INV-00494,2026-02-01,83135.37,bank_transfer,completed
PAY-00201,INV-00495,2025-05-03,63320.75,ach,completed
PAY-00202,INV-00503,2025-12-14,50968.39,bank_transfer,completed
PAY-00203,INV-00507,2025-09-18,72606.1,bank_transfer,completed
PAY-00204,INV-00508,2025-05-07,43465.87,wire,completed
PAY-00205,INV-00510,2025-11-30,20262.33,bank_transfer,completed
PAY-00206,INV-00511,2025-12-03,34311.94,bank_transfer,completed
PAY-00207,INV-00513,2025-06-20,21409.67,bank_transfer,completed
PAY-00208,INV-00514,2025-07-22,34678.54,bank_transfer,completed
PAY-00209,INV-00515,2025-03-11,80250.23,bank_transfer,completed
PAY-00210,INV-00518,2025-11-12,115665.54,bank_transfer,completed
PAY-00211,INV-00520,2025-10-17,30727.22,wire,completed
PAY-00212,INV-00524,2025-07-08,26904.11,ach,completed
PAY-00213,INV-00526,2025-10-28,26442.79,ach,completed
PAY-00214,INV-00529,2025-09-03,20500.19,ach,completed
PAY-00215,INV-00534,2025-09-28,18845.73,ach,completed
PAY-00216,INV-00536,2025-12-27,42196.08,ach,completed
PAY-00217,INV-00537,2025-03-31,96919.0,credit_card,completed
PAY-00218,INV-00538,2025-05-26,15010.59,bank_transfer,completed
PAY-00219,INV-00539,2026-01-28,89335.61,bank_transfer,completed
PAY-00220,INV-00543,2025-09-20,76806.43,credit_card,completed
PAY-00221,INV-00544,2025-08-26,13407.43,ach,completed
PAY-00222,INV-00545,2025-10-10,6359.47,check,completed
PAY-00223,INV-00547,2025-12-17,50838.9,credit_card,completed
PAY-00224,INV-00551,2025-12-17,69037.79,bank_transfer,completed
PAY-00225,INV-00556,2025-12-09,28718.02,ach,completed
PAY-00226,INV-00558,2025-12-13,27419.11,check,completed
PAY-00227,INV-00559,2025-09-27,15763.01,bank_transfer,completed
PAY-00228,INV-00564,2025-10-18,43959.75,bank_transfer,completed
PAY-00229,INV-00565,2025-08-21,31207.54,ach,completed
PAY-00230,INV-00566,2025-10-21,18002.3,check,completed
PAY-00231,INV-00567,2025-07-12,29412.71,bank_transfer,completed
PAY-00232,INV-00569,2025-11-16,59183.95,ach,completed
PAY-00233,INV-00570,2025-11-26,89092.59,bank_transfer,completed
PAY-00234,INV-00571,2025-09-02,9522.48,credit_card,completed
PAY-00235,INV-00572,2026-02-03,37238.05,ach,completed
PAY-00236,INV-00573,2026-01-31,41306.26,credit_card,completed
PAY-00237,INV-00575,2025-09-12,32382.42,bank_transfer,completed
PAY-00238,INV-00576,2025-08-20,43937.91,ach,completed
PAY-00239,INV-00577,2025-10-07,35233.25,bank_transfer,completed
PAY-00240,INV-00578,2025-05-22,23197.07,check,completed
PAY-00241,INV-00582,2025-06-22,30453.43,ach,completed
PAY-00242,INV-00585,2025-07-05,16321.31,ach,completed
PAY-00243,INV-00586,2026-01-30,98607.98,check,completed
PAY-00244,INV-00587,2025-11-15,33931.86,bank_transfer,completed
PAY-00245,INV-00591,2026-02-01,38884.91,bank_transfer,completed
PAY-00246,INV-00592,2025-11-06,46701.17,ach,completed
PAY-00247,INV-00594,2026-01-20,46620.11,credit_card,completed
PAY-00248,INV-00599,2025-06-03,29541.88,bank_transfer,completed
PAY-00249,INV-00600,2026-01-25,60802.22,bank_transfer,completed
PAY-00250,INV-00602,2025-09-13,7989.57,bank_transfer,completed
PAY-00251,INV-00603,2025-10-06,86235.68,bank_transfer,completed
PAY-00252,INV-00607,2025-08-04,46487.59,bank_transfer,completed
PAY-00253,INV-00608,2025-09-27,11122.58,bank_transfer,completed
PAY-00254,INV-00610,2025-07-09,61850.81,ach,completed
PAY-00255,INV-00618,2026-01-09,89569.55,bank_transfer,completed
PAY-00256,INV-00619,2025-10-06,79555.9,bank_transfer,completed
PAY-00257,INV-00622,2025-08-10,50133.83,bank_transfer,completed
PAY-00258,INV-00623,2025-09-18,67409.71,bank_transfer,completed
PAY-00259,INV-00624,2025-05-19,25046.41,bank_transfer,completed
PAY-00260,INV-00625,2025-09-14,12235.85,ach,completed
PAY-00261,INV-00626,2026-01-30,23560.36,credit_card,completed
PAY-00262,INV-00633,2025-05-07,9973.61,bank_transfer,completed
PAY-00263,INV-00634,2025-10-03,28647.11,ach,completed
PAY-00264,INV-00641,2025-10-12,70573.04,ach,completed
PAY-00265,INV-00644,2025-07-11,28489.98,bank_transfer,completed
PAY-00266,INV-00646,2025-08-22,50026.95,check,completed
PAY-00267,INV-00649,2025-12-21,67779.82,bank_transfer,completed
PAY-00268,INV-00653,2025-04-12,16913.2,credit_card,completed
PAY-00269,INV-00655,2025-10-22,61483.19,ach,completed
PAY-00270,INV-00656,2025-07-15,38942.15,ach,completed
PAY-00271,INV-00658,2025-10-09,8649.0,bank_transfer,completed
PAY-00272,INV-00670,2025-10-27,30046.87,credit_card,completed
PAY-00273,INV-00678,2025-08-29,14368.41,ach,completed
PAY-00274,INV-00679,2025-06-15,28341.24,bank_transfer,completed
PAY-00275,INV-00680,2025-11-17,65889.44,credit_card,completed
PAY-00276,INV-00684,2025-09-20,19508.5,credit_card,completed
PAY-00277,INV-00685,2026-02-06,19024.33,bank_transfer,completed
PAY-00278,INV-00687,2025-05-27,30191.98,ach,completed
PAY-00279,INV-00689,2025-11-05,18684.33,ach,completed
PAY-00280,INV-00692,2026-02-03,46447.31,bank_transfer,completed
PAY-00281,INV-00693,2025-07-12,14077.28,bank_transfer,completed
PAY-00282,INV-00697,2025-05-18,34894.25,bank_transfer,completed
PAY-00283,INV-00698,2025-10-25,27110.51,bank_transfer,completed
PAY-00284,INV-00701,2025-09-29,77901.05,bank_transfer,completed
PAY-00285,INV-00706,2025-04-02,47595.61,credit_card,completed
PAY-00286,INV-00711,2026-02-03,79489.69,bank_transfer,completed
PAY-00287,INV-00712,2025-08-18,24634.67,bank_transfer,completed
PAY-00288,INV-00713,2025-11-01,46352.47,bank_transfer,completed
PAY-00289,INV-00717,2025-12-28,37072.5,credit_card,completed
PAY-00290,INV-00718,2025-08-08,45204.4,bank_transfer,completed
PAY-00291,INV-00720,2026-02-05,93303.14,wire,completed
PAY-00292,INV-00722,2025-08-29,52351.93,wire,completed
PAY-00293,INV-00723,2025-12-02,22420.81,bank_transfer,completed
PAY-00294,INV-00725,2025-11-04,27646.47,bank_transfer,completed
PAY-00295,INV-00726,2025-10-05,31704.43,bank_transfer,completed
PAY-00296,INV-00734,2025-05-28,11777.88,ach,completed
PAY-00297,INV-00740,2025-05-23,30475.19,bank_transfer,completed
PAY-00298,INV-00741,2026-01-18,13151.3,wire,completed
PAY-00299,INV-00742,2025-07-01,36903.97,ach,completed
PAY-00300,INV-00744,2025-10-15,7816.93,bank_transfer,completed
PAY-00301,INV-00746,2025-04-30,69615.9,check,completed
PAY-00302,INV-00747,2026-01-07,118053.11,bank_transfer,completed
PAY-00303,INV-00750,2026-01-13,53903.34,bank_transfer,completed
PAY-00304,INV-00754,2025-08-08,29580.17,ach,completed
PAY-00305,INV-00755,2025-07-12,26116.44,bank_transfer,completed
PAY-00306,INV-00756,2025-06-14,55715.5,bank_transfer,completed
PAY-00307,INV-00758,2026-02-06,29601.95,bank_transfer,completed
PAY-00308,INV-00759,2025-12-31,7551.87,bank_transfer,completed
PAY-00309,INV-00763,2025-12-15,26494.73,bank_transfer,completed
PAY-00310,INV-00768,2026-02-03,59888.45,ach,completed
PAY-00311,INV-00782,2025-12-27,34931.38,bank_transfer,completed
PAY-00312,INV-00786,2025-08-18,17572.63,ach,completed
PAY-00313,INV-00790,2025-04-05,9949.98,bank_transfer,completed
PAY-00314,INV-00791,2025-09-08,23867.04,credit_card,completed
PAY-00315,INV-00793,2025-12-18,13337.52,bank_transfer,completed
PAY-00316,INV-00795,2026-02-01,31528.86,bank_transfer,completed
PAY-00317,INV-00796,2025-05-30,36072.4,credit_card,completed
PAY-00318,INV-00797,2025-04-02,97569.07,credit_card,completed
PAY-00319,INV-00798,2025-03-07,28646.25,check,completed
PAY-00320,INV-00799,2026-02-01,15281.76,ach,completed
PAY-00321,INV-00800,2025-07-21,17156.65,ach,completed
